Tables mAb	Tables Isotype	Tables net charge	Tables SCM	Tables HVI	Tables viscosity 150 mg/mL
mAb1	IgG1K	26	1261.4	16.7	14.4
mAb2	IgG1k	22	843.9	12.4	20.9
mAb3	IgG1K	26	1085.0	19.1	14.9
mAb4	IgG1K	20	1203.1	20.4	93.4
mAb5	IgG1K	26	818.5	10.0	8.6
mAb6	IgG2k	24	959.9	13.9	9.0
mAb7	IgG2/4k	4	1293.9	16.2	29.0
mAb8	IgG1k	22	1049.2	14.6	12.9
mAb9	IgG2\	20	1074.0	22.8	52.3
mAb10	IgG1K	34	736.2	13.2	10.2
mAb11	IgG1k	16	1038.4	23.8	100.3
mAb12	IgG1K	30	873.4	14.7	7.5
mAb13	IgG4k	14	938.3	16.4	12.5
mAb14	IgG1k	24	1067.0	13.4	23.4
mAb15	IgG1K	32	736.6	16.7	12.9
mAb16	IgG1k	26	1053.7	15.3	10.0
mAb17	IgG1K	20	1316.2	21.6	210.9
mAb18	IgG1K	28	789.3	15.0	7.1
mAb19	IgG2k	10	1205.0	19.0	21.2
mAb20	IgG4k	12	1158.4	19.0	24.4
mAb21	IgG1K	24	981.3	17.3	8.6
mAb22	IgG1k	30	950.6	13.0	9.0
mAb23	IgG1k	30	741.7	17.2	22.9
mAb24	IgG1k	26	1002.9	17.3	90.5
mAb25	IgG1k	34	853.5	22.1	7.4
mAb26	IgG1K	26	935.1	17.2	10.3
mAb27	IgG1k	26	1212.0	19.3	103.8
